MES,DIANOM,TIPOVUELO,OPERA,SIGLADES
1,Domingo,I,American Airlines,Miami
1,Lunes,I,American Airlines,Miami
1,Martes,I,American Airlines,Miami
1,Miercoles,I,American Airlines,Miami
1,Jueves,I,American Airlines,Miami
1,Sabado,I,American Airlines,Miami
1,Sabado,I,American Airlines,Miami
1,Domingo,I,American Airlines,Miami
1,Martes,I,American Airlines,Miami
1,Jueves,I,American Airlines,Miami
1,Sabado,I,American Airlines,Miami
1,Lunes,I,American Airlines,Miami
1,Miercoles,I,American Airlines,Miami
1,Sabado,I,American Airlines,Miami
1,Lunes,I,American Airlines,Miami
1,Miercoles,I,American Airlines,Miami
1,Sabado,I,American Airlines,Miami
1,Lunes,I,American Airlines,Miami
1,Domingo,I,American Airlines,Miami
1,Lunes,I,American Airlines,Miami
1,Martes,I,American Airlines,Miami
1,Miercoles,I,American Airlines,Miami
1,Jueves,I,American Airlines,Miami
1,Viernes,I,American Airlines,Miami
1,Sabado,I,American Airlines,Miami
1,Domingo,I,American Airlines,Miami
1,Lunes,I,American Airlines,Miami
1,Martes,I,American Airlines,Miami
1,Miercoles,I,American Airlines,Miami
1,Jueves,I,American Airlines,Miami
1,Viernes,I,American Airlines,Miami
1,Sabado,I,American Airlines,Miami
1,Domingo,I,American Airlines,Miami
1,Lunes,I,American Airlines,Miami
1,Martes,I,American Airlines,Miami
1,Miercoles,I,American Airlines,Miami
1,Jueves,I,American Airlines,Miami
1,Sabado,I,American Airlines,Miami
1,Domingo,I,American Airlines,Miami
1,Lunes,I,American Airlines,Miami
1,Martes,I,American Airlines,Miami
1,Miercoles,I,American Airlines,Miami
1,Jueves,I,American Airlines,Miami
1,Viernes,I,American Airlines,Miami
1,Sabado,I,American Airlines,Miami
1,Domingo,I,American Airlines,Miami
1,Lunes,I,American Airlines,Miami
1,Martes,I,American Airlines,Miami
1,Domingo,I,American Airlines,Dallas
1,Lunes,I,American Airlines,Dallas
1,Martes,I,American Airlines,Dallas
1,Miercoles,I,American Airlines,Dallas
1,Jueves,I,American Airlines,Dallas
1,Viernes,I,American Airlines,Dallas
1,Sabado,I,American Airlines,Dallas
1,Domingo,I,American Airlines,Dallas
1,Lunes,I,American Airlines,Dallas
1,Martes,I,American Airlines,Dallas
1,Miercoles,I,American Airlines,Dallas
1,Jueves,I,American Airlines,Dallas
1,Viernes,I,American Airlines,Dallas
1,Sabado,I,American Airlines,Dallas
1,Domingo,I,American Airlines,Dallas
1,Lunes,I,American Airlines,Dallas
1,Martes,I,American Airlines,Dallas
1,Miercoles,I,American Airlines,Dallas
1,Jueves,I,American Airlines,Dallas
1,Viernes,I,American Airlines,Dallas
1,Sabado,I,American Airlines,Dallas
1,Domingo,I,American Airlines,Dallas
1,Lunes,I,American Airlines,Dallas
1,Martes,I,American Airlines,Dallas
1,Miercoles,I,American Airlines,Dallas
1,Jueves,I,American Airlines,Dallas
1,Viernes,I,American Airlines,Dallas
1,Sabado,I,American Airlines,Dallas
1,Domingo,I,American Airlines,Dallas
1,Lunes,I,American Airlines,Dallas
1,Martes,I,American Airlines,Dallas
1,Domingo,I,Air Canada,Buenos Aires
1,Lunes,I,Air Canada,Buenos Aires
1,Martes,I,Air Canada,Buenos Aires
1,Miercoles,I,Air Canada,Buenos Aires
1,Jueves,I,Air Canada,Buenos Aires
1,Viernes,I,Air Canada,Buenos Aires
1,Sabado,I,Air Canada,Buenos Aires
1,Domingo,I,Air Canada,Buenos Aires
1,Lunes,I,Air Canada,Buenos Aires
1,Martes,I,Air Canada,Buenos Aires
1,Miercoles,I,Air Canada,Buenos Aires
1,Jueves,I,Air Canada,Buenos Aires
1,Viernes,I,Air Canada,Buenos Aires
1,Sabado,I,Air Canada,Buenos Aires
1,Domingo,I,Air Canada,Buenos Aires
1,Lunes,I,Air Canada,Buenos Aires
1,Martes,I,Air Canada,Buenos Aires
1,Miercoles,I,Air Canada,Buenos Aires
1,Jueves,I,Air Canada,Buenos Aires
1,Viernes,I,Air Canada,Buenos Aires
1,Sabado,I,Air Canada,Buenos Aires
1,Domingo,I,Air Canada,Buenos Aires
1,Lunes,I,Air Canada,Buenos Aires
1,Martes,I,Air Canada,Buenos Aires
1,Miercoles,I,Air Canada,Buenos Aires
1,Jueves,I,Air Canada,Buenos Aires
1,Viernes,I,Air Canada,Buenos Aires
1,Sabado,I,Air Canada,Buenos Aires
1,Domingo,I,Air Canada,Buenos Aires
1,Lunes,I,Air Canada,Buenos Aires
1,Domingo,I,Air Canada,Toronto
1,Lunes,I,Air Canada,Toronto
1,Martes,I,Air Canada,Toronto
1,Miercoles,I,Air Canada,Toronto
1,Jueves,I,Air Canada,Toronto
1,Viernes,I,Air Canada,Toronto
1,Sabado,I,Air Canada,Toronto
1,Domingo,I,Air Canada,Toronto
1,Lunes,I,Air Canada,Toronto
1,Martes,I,Air Canada,Toronto
1,Miercoles,I,Air Canada,Toronto
1,Viernes,I,Air Canada,Toronto
1,Sabado,I,Air Canada,Toronto
1,Domingo,I,Air Canada,Toronto
1,Lunes,I,Air Canada,Toronto
